Date,Min Temperature,Max Temperature,Day Icon Phrase,Day Has Precipitation,Day Precipitation Type,Day Precipitation Intensity,Night Icon Phrase,Night Has Precipitation,Night Precipitation Type,Night Precipitation Intensity
2023-08-21T07:00:00+08:00,79.0,88.0,Partly sunny w/ t-storms,True,Rain,Moderate,Mostly cloudy w/ showers,True,Rain,Moderate
2023-08-22T07:00:00+08:00,78.0,88.0,Showers,True,Rain,Moderate,Thunderstorms,True,Rain,Heavy
2023-08-23T07:00:00+08:00,79.0,89.0,Thunderstorms,True,Rain,Moderate,Partly cloudy w/ t-storms,True,Rain,Moderate
2023-08-24T07:00:00+08:00,79.0,87.0,Showers,True,Rain,Light,Thunderstorms,True,Rain,Moderate
2023-08-25T07:00:00+08:00,78.0,88.0,Showers,True,Rain,Moderate,Thunderstorms,True,Rain,Moderate
