DateTime,EpochDateTime,WeatherIcon,IconPhrase,HasPrecipitation,PrecipitationType,PrecipitationIntensity,IsDaylight,Temperature.Value,Temperature.Unit,Temperature.UnitType
2023-08-27T17:00:00+08:00,1693126800,7,Cloudy,False,,,True,83.0,F,18
2023-08-27T18:00:00+08:00,1693130400,7,Cloudy,False,,,True,83.0,F,18
2023-08-27T19:00:00+08:00,1693134000,7,Cloudy,False,,,False,82.0,F,18
2023-08-27T20:00:00+08:00,1693137600,7,Cloudy,False,,,False,82.0,F,18
2023-08-27T21:00:00+08:00,1693141200,7,Cloudy,False,,,False,82.0,F,18
2023-08-27T22:00:00+08:00,1693144800,7,Cloudy,False,,,False,82.0,F,18
2023-08-27T23:00:00+08:00,1693148400,7,Cloudy,False,,,False,82.0,F,18
2023-08-28T00:00:00+08:00,1693152000,7,Cloudy,False,,,False,81.0,F,18
2023-08-28T01:00:00+08:00,1693155600,7,Cloudy,False,,,False,82.0,F,18
2023-08-28T02:00:00+08:00,1693159200,7,Cloudy,False,,,False,82.0,F,18
2023-08-28T03:00:00+08:00,1693162800,7,Cloudy,False,,,False,82.0,F,18
2023-08-28T04:00:00+08:00,1693166400,7,Cloudy,False,,,False,82.0,F,18
